,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,QS-score
normalized_vfoldpipeline_r1149.pdb,14.05,0.0,,,,,,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0
normalized_rnacomposer_r1149.pdb,15.954,0.0,,,,,,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0
normalized_isrna_r1149.pdb,16.899,0.0,,,,,,15.05,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
normalized_3drna_r1149_1.pdb,17.717,0.0,,,,,,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0
normalized_3drna_r1149_3.pdb,17.721,0.0,,,,,,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0
normalized_rnajp_r1149.pdb,18.257,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0
normalized_trrosettarna_r1149_3.pdb,18.576,5.551115123125783e-17,,,,,,29.33,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
normalized_3drna_r1149_5.pdb,18.841,2.220446049250313e-16,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0
normalized_trrosettarna_r1149_4.pdb,19.257,1.3322676295501878e-15,,,,,,31.88,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0
normalized_trrosettarna_r1149_5.pdb,19.282,1.4988010832439613e-15,,,,,,31.89,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
normalized_trrosettarna_r1149_1.pdb,20.723,6.75848266240564e-13,,,,,,26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0
normalized_trrosettarna_r1149_2.pdb,22.067,1.1318485038103177e-10,,,,,,30.12,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
normalized_3drna_r1149_4.pdb,22.398,3.6685027238192447e-10,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0
normalized_3drna_r1149_2.pdb,23.794,3.6615489973357285e-08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0
