,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,QS-score
normalized_3drna_r1190_5.pdb,22.356,7.338153473757103e-09,0.629,0.769,,0.57,35.547,43.93,0.244,0.11,0.22,0.28,0.364,0.0,0.297,0.0
normalized_3drna_r1190_2.pdb,23.205,1.0304028491558981e-07,0.625,0.743,0.0,0.596,37.128,48.54,0.22,0.076,0.17,0.28,0.356,0.0,0.274,0.0
normalized_3drna_r1190_4.pdb,23.526,2.6455798041169487e-07,0.631,0.75,0.0,0.594,37.276,44.9,0.218,0.093,0.22,0.263,0.297,0.0,0.235,0.0
normalized_3drna_r1190_3.pdb,27.491,0.0024591488093106406,0.654,0.795,0.0,0.604,42.051,44.84,0.212,0.093,0.195,0.271,0.288,0.0,0.222,0.0
normalized_isrna_r1190.pdb,29.184,0.030605991990156345,0.642,0.8,0.0,0.588,45.43,37.46,0.233,0.11,0.212,0.288,0.322,0.0,0.25,0.0
normalized_3drna_r1190_1.pdb,29.412,0.04046560285928469,0.616,0.763,0.0,0.557,47.732,47.51,0.214,0.093,0.186,0.28,0.297,0.0,0.238,0.0
normalized_trrosettarna_r1190_1.pdb,29.629,0.052101610003690235,0.566,0.718,0.0,0.56,52.376,38.33,0.199,0.102,0.161,0.229,0.305,0.0,0.193,0.0
normalized_trrosettarna_r1190_4.pdb,29.712,0.05723579101899656,0.487,0.591,0.0,0.478,60.998,43.52,0.193,0.093,0.144,0.212,0.322,0.0,0.194,0.0
normalized_rnajp_r1190.pdb,29.941,0.0733155988987842,0.684,0.8,0.0,0.659,43.777,34.06,0.229,0.119,0.195,0.288,0.314,0.0,0.237,0.0
normalized_vfoldpipeline_r1190.pdb,30.381,0.11376042396084307,0.65,0.788,0.0,0.587,46.775,39.96,0.233,0.119,0.229,0.28,0.305,0.0,0.249,0.0
normalized_trrosettarna_r1190_2.pdb,32.707,0.5339530014352771,0.537,0.722,0.0,0.509,60.915,41.29,0.208,0.11,0.17,0.22,0.331,0.0,0.203,0.0
normalized_trrosettarna_r1190_5.pdb,32.785,0.5511526452378871,0.315,0.348,0.0,0.362,104.101,54.37,0.14,0.076,0.102,0.152,0.229,0.0,0.173,0.0
normalized_trrosettarna_r1190_3.pdb,34.221,0.8228871554572583,0.545,0.574,0.0,0.559,62.814,42.44,0.193,0.102,0.17,0.212,0.288,0.0,0.2,0.0
normalized_rnacomposer_r1190.pdb,35.591,0.9542629766666673,0.678,0.8,0.0,0.653,52.523,36.54,0.203,0.085,0.152,0.271,0.305,0.0,0.204,0.0
