,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,QS-score
normalized_3drna_r1108_2.pdb,,,0.516,0.526,,0.519,,,0.413,0.232,0.377,0.449,0.594,0.0,0.225,0.0
normalized_trrosettarna_r1108_5.pdb,,,0.229,,0.0,0.318,,,0.192,0.072,0.13,0.203,0.362,0.0,0.123,0.0
normalized_rnacomposer_r1108.pdb,,,0.493,0.547,0.0,0.482,,,0.283,0.203,0.261,0.304,0.362,0.0,0.167,0.0
normalized_rnajp_r1108.pdb,,,0.561,0.547,0.0,0.578,,,0.359,0.145,0.261,0.435,0.594,0.0,0.24,0.0
normalized_3drna_r1108_5.pdb,,,0.542,0.526,0.0,0.567,,,0.406,0.232,0.377,0.449,0.565,0.0,0.233,0.0
normalized_isrna_r1108.pdb,,,0.481,0.547,0.0,0.465,,,0.29,0.116,0.217,0.29,0.536,0.0,0.213,0.0
normalized_3drna_r1108_1.pdb,,,0.555,0.526,0.0,0.58,,,0.464,0.232,0.478,0.536,0.609,0.0,0.254,0.0
normalized_vfoldpipeline_r1108.pdb,,,0.429,0.547,,0.378,,,0.341,0.159,0.217,0.333,0.652,0.0,0.22,0.0
normalized_3drna_r1108_3.pdb,,,0.514,0.526,0.0,0.523,,,0.427,0.217,0.391,0.507,0.594,0.0,0.247,0.0
normalized_trrosettarna_r1108_4.pdb,,,0.252,0.0,0.0,0.355,,,0.199,0.072,0.116,0.203,0.406,0.0,0.118,0.0
normalized_trrosettarna_r1108_3.pdb,,,0.201,,0.0,0.284,,,0.196,0.058,0.13,0.203,0.391,0.0,0.128,0.0
normalized_trrosettarna_r1108_1.pdb,,,0.368,0.468,0.0,0.348,,,0.478,0.174,0.246,0.565,0.927,0.0,0.327,0.0
normalized_3drna_r1108_4.pdb,,,0.579,0.565,0.0,0.597,,,0.457,0.217,0.449,0.536,0.623,0.0,0.263,0.0
normalized_trrosettarna_r1108_2.pdb,,,0.434,0.452,0.0,0.437,,,0.467,0.145,0.275,0.522,0.927,0.0,0.321,0.0
